;id;date;Tipo Comentario;comentario;NPS score;NPS nivel;canales mencionados;mención canal digital;mención canal telefónico;mención canal físico;relevancia;problema producto;problema canal;problema servicio
14289;115902122;30/10/2020;1;la persona que me atendió a pesar de que era una hora tardía fue exquisito en el trato, no solo porque me resolvió la duda sino que además me dio información de como arreglar lo que había pasado y así ya esta todo perfecto.;10;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
13136;113119156;30/09/2020;0;ustedes me han puesto un correo en el que me dicen que mi recibo de hipoteca esta impagado y eso no es verdad y como no es verdad a mi no me tienen que mandar esos correos me siento dolido;3;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO
15453;119407745;08/12/2020;1;Que me puedan ayudar a resolver el problema que tengo, desde el exterior. En vez de ayudarme, soy yo la que tiene que perseguir al mimebro de staff de la sucursal donde abri la cuenta, sin respuesta del mismo, y sintiendome en un limbo. Y todo porque mi tarjeta fue hackeada. Noo puedo acceder al banking online, no tengo tarjeta, no puedo gestionar NADA y no recibo ayuda. Ya no se que hacer?;0;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
11568;110052645;18/08/2020;1;Les doy un 1 por q espere en la línea 15 minutos a q me atendieran y cuando me atendieron no me ayudaron en nada q pérdida de tiempo;1;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
12688;112165646;18/09/2020;0;Que tengas que pagar 20? por un certificado que tienes que solicitar tú mismo a través de la app me parece vergonzoso. Al menos podrían hacer el trámite ya que te cobran. Un saludo.;0;DETRACTOR;['app'];VERDADERO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
3812;97972524;25/03/2020;1;Atenció rebuda sempre es eficient, resolutiva, atenta, educada,correcte i cordial.;10;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
11314;109707785;11/08/2020;2;(Ver comentario de la siguiente pregunta) Por error se duplicó una trasferencia y no pude anular una de ellas ni tampoco a través vuestro cuando llamé y hablé con un gestor, en la tarde de ayer. Tienes que hablar con la persona o empresa a quién le has hecho la misma y confiar en que te haga la devolución. Debería ser más fácil la solución sin tener que utilizar a terceros para solventarlo.;5;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;VERDADERO
1870;94414813;11/02/2020;3;Ens heu bloquejat el compte per falta dactualitzacio de dades sense previ avís Això ens ha comportat molts problemes a lhora dels pagaments de factures amb sobrecostos afegits;1;DETRACTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
9173;106876096;04/07/2020;1;La persona que me ha atendido ( María José) , ha sido muy amable, y me ha informado muy bien, así da gusto.;10;PROMOTOR;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
11071;109389788;06/08/2020;1;Estuve unos minutos a la espera hasta ser atendida. Pero después te atienden bien y aunque no podía resolverme en el momento la consulta desvió la misma al personal indicando para que contacten conmigo y me informen adecuadamente. Espero que me llamen pronto.;8;NEUTRO;[];FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
